# Duplicates found in Ground Truth data
# Generated by evaluation.ipynbhttps://www.uni-due.de/person/56085 	&#350;enay Aslan Y&#305;lmaz
https://www.uni-due.de/person/54129 	Deane B.A., MSc.
https://www.uni-due.de/person/53532 	Deane B.A., MSc.
https://www.uni-due.de/person/54130 	Deane B.A., MSc.
https://www.uni-due.de/person/53516 	Deane B.A., MSc.
https://www.uni-due.de/person/54131 	Deane B.A., MSc.
https://www.uni-due.de/person/54092 	Deane B.A., MSc.
https://www.uni-due.de/person/53531 	Deane B.A., MSc.
https://www.uni-due.de/person/62510 	Denise Gerber
https://www.uni-due.de/person/62511 	Denise Gerber
https://www.uni-due.de/person/54246 	Die Dozenten der Mathematik
https://www.uni-due.de/person/50909 	Die Dozenten der Mathematik
https://www.uni-due.de/person/56320 	Dindas, M.A.
https://www.uni-due.de/person/56741 	Dindas, M.A.
https://www.uni-due.de/person/52076 	Dipl.-Des. Mona Mönnig
https://www.uni-due.de/person/51376 	Dipl.-Des. Mona Mönnig
https://www.uni-due.de/person/12045 	Dipl.-Ing. Guido Schraven
https://www.uni-due.de/person/49798 	Dipl.-Ing. Guido Schraven
https://www.uni-due.de/person/48679 	Dipl.-Ing. Karl-Heinz Menze
https://www.uni-due.de/person/58732 	Dipl.-Ing. Karl-Heinz Menze
https://www.uni-due.de/person/50215 	Dipl.-Ing. Robert Urbanczyk
https://www.uni-due.de/person/49098 	Dipl.-Ing. Robert Urbanczyk
https://www.uni-due.de/person/48021 	Dipl.Des. Wolfgang Röver
https://www.uni-due.de/person/11578 	Dipl.Des. Wolfgang Röver
https://www.uni-due.de/person/4032  	Dozenten Kommedia
https://www.uni-due.de/person/2239  	Dozenten Kommedia
https://www.uni-due.de/person/49698 	Dr. Axel Bergmann
https://www.uni-due.de/person/2277  	Dr. Axel Bergmann
https://www.uni-due.de/person/11000 	Dr. Hendrich Schulte
https://www.uni-due.de/person/48176 	Dr. Hendrich Schulte
https://www.uni-due.de/person/57617 	Dr. Katja Freistein
https://www.uni-due.de/person/58131 	Dr. Katja Freistein
https://www.uni-due.de/person/63028 	Dr. Leonardo Bandarra
https://www.uni-due.de/person/62518 	Dr. Leonardo Bandarra
https://www.uni-due.de/person/52043 	Dr. Mark Halawa-Sarholz
https://www.uni-due.de/person/62636 	Dr. Mark Halawa-Sarholz
https://www.uni-due.de/person/10250 	Dr. Michael Hennes
https://www.uni-due.de/person/49687 	Dr. Michael Hennes
https://www.uni-due.de/person/58967 	Dr. Nicola Großebrahm
https://www.uni-due.de/person/51734 	Dr. Nicola Großebrahm
https://www.uni-due.de/person/58398 	Dr. Rita Nemeth
https://www.uni-due.de/person/59929 	Dr. Rita Nemeth
https://www.uni-due.de/person/59775 	Dr. Sebastian Eck
https://www.uni-due.de/person/51802 	Dr. Sebastian Eck
https://www.uni-due.de/person/59363 	Dr. Stefanie Jahn
https://www.uni-due.de/person/59686 	Dr. Stefanie Jahn
https://www.uni-due.de/person/63031 	Dr. Thorsten Schlee
https://www.uni-due.de/person/49686 	Dr. Thorsten Schlee
https://www.uni-due.de/person/57166 	Dr. Vanessa Agnew
https://www.uni-due.de/person/62093 	Dr. Vanessa Agnew
https://www.uni-due.de/person/56040 	Dr. med. Johannes Matschke
https://www.uni-due.de/person/56039 	Dr. med. Johannes Matschke
https://www.uni-due.de/person/59647 	Dr. med. Martin Mosen
https://www.uni-due.de/person/57656 	Dr. med. Martin Mosen
https://www.uni-due.de/person/56517 	Dr. med. Sascha Beck
https://www.uni-due.de/person/58364 	Dr. med. Sascha Beck
https://www.uni-due.de/person/10992 	Dr. phil. Jessica Süßenbach
https://www.uni-due.de/person/47897 	Dr. phil. Jessica Süßenbach
https://www.uni-due.de/person/58641 	Dr.-Ing. Alexander Goudz
https://www.uni-due.de/person/3081  	Dr.-Ing. Alexander Goudz
https://www.uni-due.de/person/48759 	Dr.-Ing. Stefan Bieder
https://www.uni-due.de/person/2980  	Dr.-Ing. Stefan Bieder
https://www.uni-due.de/person/1045  	Dr.-Ing. Stefan Haep
https://www.uni-due.de/person/51851 	Dr.-Ing. Stefan Haep
https://www.uni-due.de/person/51948 	Dumoulin, M.A.
